Variant,Hex_Value
B.1.1.529,#E26028
BA.1.1,#FF824C
BA.2,#9CCC65
BA.2.12.1,#7CB342
BA.2.75,#D4E157
BA.2.75.2,#C0CA33
CH.1.1,#827717
BN.1,#9e9d24
BA.4,#FFD54F
BA.4.6,#FFB300
BA.5,#80CBC4
BF.7,#81D4FA
BF.11,#29B6F6
BA.5.2.6,#009688
BQ.1,#006064
BQ.1.1,#00838F
XBB,#9FA8DA
XBB.1.5,#3F51B5 
XBB.1.5.1,#1a237e
XBB.1.5.10,#f97a57
EU.1.1,#f25353
XBB.1.5.68,#86bcb6
XBB.1.9.1,#304ffe
XBB.1.9.2,#536DFE
FD.2,#8C9EFF
XBB.1.16,#4527A0
XBB.1.16.1,#f89b9b
FE.1.1,#499894
XBB.2.3,#f7bcdf
B.1.617.2,#B39DDB
Other,#797979
EG.5,#f28e2b
XBB.1.5.59,#ffbe7d
XBB.1.16.6,#59a14f
XBB.1.5.72,#254220
FL.1.5.1,#8cd17d
GE.1,#66534c
EG.6.1,#b9aba8
XBB.1.16.11,#d37295
FD.1.1,#e7cb40
XBB.1.5.70,#46783c
XBB.2.3.8,#b9b2e8
HV.1,#797765
XBB.1.42.2,#75d1a3
XBB.1.16.15,#e3b5fa
GK.2,#9d8577
HF.1,#d399ad
GK.1.1,#90fae5
HK.3,#859dbc
JD.1.1,#80f192
JF.1,#fff1a9
JG.3,#66a172
BA.2.86,#d771f1
JN.1,#660099
XBB.1.16.17,#8f8cb0
EG.5.1.8,#e14d6f
JN.1.13,#e83c78
JN.1.18,#4df230
JN.1.16,#bc3a88
JN.1.7,#cf15e8
JN.1.8.1,#ffb027
KQ.1,#e86cde
KP.2,#5875a1
JN.1.13.1,#f2591c
KP.1.1,#cbff86
JN.1.11.1,#5c9cf1
XDP,#b60052
JN.1.16.1,#366298
KP.3,#b06589
JN.1.32,#2e7919
KW.1.1,#34a0ff
KS.1,#b771bc
Kv.2,#e14365
XDV.1,#d367b6
LB.1,#795653
JN.1.4.3,#9d1010
KP.4.1,#ff473a
KP.1.2,#d487c6
KP.2.3,#628de8
KP.1.1.3,#1eb3b6
KP.3.1.1,#2f92a1
LP.1,#a74f9b
LF.3.1,#d73e95
KP.2.15,#175dff
XEC,#4ca14c
MC.1,#b6b614
LB.1.3.1,#67b4bc
LF.7,#3e8aa1
JN.1.18.6,#e16b1d
MC.10.1,#0956d1
MC.19,#206cbc
LP.8.1,#ff860c
XEK,#7eb1e8
XEC.4,#06bc61
XEQ,#7660f1
MC.28.1,#287ba1
LF.7.2.1,#8480ff
LF.7.7.1,#3a54ff
LF.7.7.2,#8686ff
PA.1,#4545ff
XFC,#b66920
XFG,#4e6ea1
NB.1.8.1,#8e1299
LF.7.9,#604aa1
NW.1,#be95b4
